"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Clark University" "Private" 2887 2059 457 11951 79 61 42.2508217 -71.8222958 "Clark University" "<b>Clark University</b><br><b>Private</b><br><b>Applications: </b>2887<br><b>Applicatants accepted: </b>2059<br><b>Enrollments: </b>457"
"Clarke College" "Private" 460 340 167 7963 74 45 45.6365562 -122.6507622 "Clarke College" "<b>Clarke College</b><br><b>Private</b><br><b>Applications: </b>460<br><b>Applicatants accepted: </b>340<br><b>Enrollments: </b>167"
"Clarkson University" "Private" 2174 1953 557 11659 77 68 44.6627128 -74.999495 "Clarkson University" "<b>Clarkson University</b><br><b>Private</b><br><b>Applications: </b>2174<br><b>Applicatants accepted: </b>1953<br><b>Enrollments: </b>557"
"Clemson University" "Public" 8065 5257 2301 7597 73 65 34.6786106 -82.8371741 "Clemson University" "<b>Clemson University</b><br><b>Public</b><br><b>Applications: </b>8065<br><b>Applicatants accepted: </b>5257<br><b>Enrollments: </b>2301"
"Clinch Valley Coll. of  the Univ. of Virginia" "Public" 689 561 250 4417 46 30 36.971723 -82.5578081 "Clinch Valley Coll. of  the Univ. of Virginia" "<b>Clinch Valley Coll. of  the Univ. of Virginia</b><br><b>Public</b><br><b>Applications: </b>689<br><b>Applicatants accepted: </b>561<br><b>Enrollments: </b>250"
"Coe College" "Private" 1006 742 275 10141 67 60 41.9886884 -91.659159 "Coe College" "<b>Coe College</b><br><b>Private</b><br><b>Applications: </b>1006<br><b>Applicatants accepted: </b>742<br><b>Enrollments: </b>275"
"Coker College" "Private" 604 452 295 8741 75 47 34.3772032 -80.0699063 "Coker College" "<b>Coker College</b><br><b>Private</b><br><b>Applications: </b>604<br><b>Applicatants accepted: </b>452<br><b>Enrollments: </b>295"
"Colby College" "Private" 2848 1319 456 15954 91 84 44.5641168 -69.6633213 "Colby College" "<b>Colby College</b><br><b>Private</b><br><b>Applications: </b>2848<br><b>Applicatants accepted: </b>1319<br><b>Enrollments: </b>456"
"Colgate University" "Private" 4856 2492 727 15494 93 75 42.822465 -75.541671 "Colgate University" "<b>Colgate University</b><br><b>Private</b><br><b>Applications: </b>4856<br><b>Applicatants accepted: </b>2492<br><b>Enrollments: </b>727"
"College Misericordia" "Private" 1432 888 317 8604 96 58 41.3450748 -75.971354 "College Misericordia" "<b>College Misericordia</b><br><b>Private</b><br><b>Applications: </b>1432<br><b>Applicatants accepted: </b>888<br><b>Enrollments: </b>317"
"College of Charleston" "Public" 4772 3140 1265 4776 51 55 32.7837082 -79.9381577 "College of Charleston" "<b>College of Charleston</b><br><b>Public</b><br><b>Applications: </b>4772<br><b>Applicatants accepted: </b>3140<br><b>Enrollments: </b>1265"
"College of Mount St. Joseph" "Private" 798 620 238 6889 100 41 39.095713 -84.637835 "College of Mount St. Joseph" "<b>College of Mount St. Joseph</b><br><b>Private</b><br><b>Applications: </b>798<br><b>Applicatants accepted: </b>620<br><b>Enrollments: </b>238"
"College of Mount St. Vincent" "Private" 946 648 177 10015 83 46 40.9126496 -73.9073232 "College of Mount St. Vincent" "<b>College of Mount St. Vincent</b><br><b>Private</b><br><b>Applications: </b>946<br><b>Applicatants accepted: </b>648<br><b>Enrollments: </b>177"
"College of Notre Dame" "Private" 344 264 97 9773 43 42 39.3514341 -76.6212684 "College of Notre Dame" "<b>College of Notre Dame</b><br><b>Private</b><br><b>Applications: </b>344<br><b>Applicatants accepted: </b>264<br><b>Enrollments: </b>97"
"College of Notre Dame of Maryland" "Private" 457 356 177 7477 75 61 39.3514341 -76.6212684 "College of Notre Dame of Maryland" "<b>College of Notre Dame of Maryland</b><br><b>Private</b><br><b>Applications: </b>457<br><b>Applicatants accepted: </b>356<br><b>Enrollments: </b>177"
"College of Saint Benedict" "Private" 938 864 511 8847 72 62 45.5798263 -94.3937748 "College of Saint Benedict" "<b>College of Saint Benedict</b><br><b>Private</b><br><b>Applications: </b>938<br><b>Applicatants accepted: </b>864<br><b>Enrollments: </b>511"
"College of Saint Catherine" "Private" 511 411 186 7315 77 51 44.9246182 -93.1821589 "College of Saint Catherine" "<b>College of Saint Catherine</b><br><b>Private</b><br><b>Applications: </b>511<br><b>Applicatants accepted: </b>411<br><b>Enrollments: </b>186"
"College of Saint Elizabeth" "Private" 444 359 122 9447 78 53 40.7806132 -74.4393729 "College of Saint Elizabeth" "<b>College of Saint Elizabeth</b><br><b>Private</b><br><b>Applications: </b>444<br><b>Applicatants accepted: </b>359<br><b>Enrollments: </b>122"
"College of Saint Rose" "Private" 983 664 249 6084 64 57 42.6643488 -73.7855519 "College of Saint Rose" "<b>College of Saint Rose</b><br><b>Private</b><br><b>Applications: </b>983<br><b>Applicatants accepted: </b>664<br><b>Enrollments: </b>249"
"College of Santa Fe" "Private" 546 447 189 8820 80 42 35.6564937 -105.9773322 "College of Santa Fe" "<b>College of Santa Fe</b><br><b>Private</b><br><b>Applications: </b>546<br><b>Applicatants accepted: </b>447<br><b>Enrollments: </b>189"
"College of St. Joseph" "Private" 141 118 55 6936 76 21 43.598154 -73.0006774 "College of St. Joseph" "<b>College of St. Joseph</b><br><b>Private</b><br><b>Applications: </b>141<br><b>Applicatants accepted: </b>118<br><b>Enrollments: </b>55"
"College of St. Scholastica" "Private" 672 596 278 8996 72 60 46.818137 -92.1008687 "College of St. Scholastica" "<b>College of St. Scholastica</b><br><b>Private</b><br><b>Applications: </b>672<br><b>Applicatants accepted: </b>596<br><b>Enrollments: </b>278"
"College of the Holy Cross" "Private" 2994 1691 659 12138 95 95 42.2378888 -71.8052464 "College of the Holy Cross" "<b>College of the Holy Cross</b><br><b>Private</b><br><b>Applications: </b>2994<br><b>Applicatants accepted: </b>1691<br><b>Enrollments: </b>659"
"College of William and Mary" "Public" 7117 3106 1217 9534 93 88 37.2723284 -76.7169032 "College of William and Mary" "<b>College of William and Mary</b><br><b>Public</b><br><b>Applications: </b>7117<br><b>Applicatants accepted: </b>3106<br><b>Enrollments: </b>1217"
"College of Wooster" "Private" 2100 1883 553 14140 69 65 40.8110565 -81.9335997 "College of Wooster" "<b>College of Wooster</b><br><b>Private</b><br><b>Applications: </b>2100<br><b>Applicatants accepted: </b>1883<br><b>Enrollments: </b>553"
"Colorado College" "Private" 3207 1577 490 14664 84 87 38.8484298 -104.8228753 "Colorado College" "<b>Colorado College</b><br><b>Private</b><br><b>Applications: </b>3207<br><b>Applicatants accepted: </b>1577<br><b>Enrollments: </b>490"
"Colorado State University" "Public" 9478 6312 2194 7850 59 65 40.573436 -105.0865473 "Colorado State University" "<b>Colorado State University</b><br><b>Public</b><br><b>Applications: </b>9478<br><b>Applicatants accepted: </b>6312<br><b>Enrollments: </b>2194"
"Columbia College MO" "Private" 314 158 132 5015 37 28 38.9584081 -92.3257279 "Columbia College MO" "<b>Columbia College MO</b><br><b>Private</b><br><b>Applications: </b>314<br><b>Applicatants accepted: </b>158<br><b>Enrollments: </b>132"
"Columbia College" "Private" 737 614 242 8693 76 67 38.9584081 -92.3257279 "Columbia College" "<b>Columbia College</b><br><b>Private</b><br><b>Applications: </b>737<br><b>Applicatants accepted: </b>614<br><b>Enrollments: </b>242"
"Columbia University" "Private" 6756 1930 871 30639 99 96 40.8075355 -73.9625727 "Columbia University" "<b>Columbia University</b><br><b>Private</b><br><b>Applications: </b>6756<br><b>Applicatants accepted: </b>1930<br><b>Enrollments: </b>871"
"Concordia College at St. Paul" "Private" 281 266 139 6955 45 29 44.9505598 -93.1561141 "Concordia College at St. Paul" "<b>Concordia College at St. Paul</b><br><b>Private</b><br><b>Applications: </b>281<br><b>Applicatants accepted: </b>266<br><b>Enrollments: </b>139"
"Concordia Lutheran College" "Private" 232 216 106 6875 42 34 -27.572723 151.929537 "Concordia Lutheran College" "<b>Concordia Lutheran College</b><br><b>Private</b><br><b>Applications: </b>232<br><b>Applicatants accepted: </b>216<br><b>Enrollments: </b>106"
"Concordia University CA" "Private" 688 497 144 8415 55 75 30.420143 -97.8395755 "Concordia University CA" "<b>Concordia University CA</b><br><b>Private</b><br><b>Applications: </b>688<br><b>Applicatants accepted: </b>497<br><b>Enrollments: </b>144"
"Concordia University" "Private" 528 403 186 7309 75 56 33.6541189 -117.8105538 "Concordia University" "<b>Concordia University</b><br><b>Private</b><br><b>Applications: </b>528<br><b>Applicatants accepted: </b>403<br><b>Enrollments: </b>186"
"Connecticut College" "Private" 3035 1546 438 14773 91 93 41.3786877 -72.1045869 "Connecticut College" "<b>Connecticut College</b><br><b>Private</b><br><b>Applications: </b>3035<br><b>Applicatants accepted: </b>1546<br><b>Enrollments: </b>438"
"Converse College" "Private" 440 407 149 10965 75 70 34.9561776 -81.9186956 "Converse College" "<b>Converse College</b><br><b>Private</b><br><b>Applications: </b>440<br><b>Applicatants accepted: </b>407<br><b>Enrollments: </b>149"
"Cornell College" "Private" 1538 1329 383 10340 64 68 41.9269546 -91.4253502 "Cornell College" "<b>Cornell College</b><br><b>Private</b><br><b>Applications: </b>1538<br><b>Applicatants accepted: </b>1329<br><b>Enrollments: </b>383"
"Creighton University" "Private" 2967 2836 876 22906 85 60 41.2650114 -95.9477073 "Creighton University" "<b>Creighton University</b><br><b>Private</b><br><b>Applications: </b>2967<br><b>Applicatants accepted: </b>2836<br><b>Enrollments: </b>876"
"Culver-Stockton College" "Private" 1576 1110 274 5807 51 55 40.1290996 -91.5335407 "Culver-Stockton College" "<b>Culver-Stockton College</b><br><b>Private</b><br><b>Applications: </b>1576<br><b>Applicatants accepted: </b>1110<br><b>Enrollments: </b>274"
"Cumberland College" "Private" 995 789 398 8189 63 47 36.7363908 -84.1622998 "Cumberland College" "<b>Cumberland College</b><br><b>Private</b><br><b>Applications: </b>995<br><b>Applicatants accepted: </b>789<br><b>Enrollments: </b>398"
"D'Youville College" "Private" 866 619 157 6898 46 47 42.9036493 -78.8914569 "D'Youville College" "<b>D'Youville College</b><br><b>Private</b><br><b>Applications: </b>866<br><b>Applicatants accepted: </b>619<br><b>Enrollments: </b>157"
"Dana College" "Private" 504 482 185 8686 54 36 41.5500338 -96.1566754 "Dana College" "<b>Dana College</b><br><b>Private</b><br><b>Applications: </b>504<br><b>Applicatants accepted: </b>482<br><b>Enrollments: </b>185"
"Daniel Webster College" "Private" 585 508 153 8643 72 30 42.7772767 -71.5140162 "Daniel Webster College" "<b>Daniel Webster College</b><br><b>Private</b><br><b>Applications: </b>585<br><b>Applicatants accepted: </b>508<br><b>Enrollments: </b>153"
"Dartmouth College" "Private" 8587 2273 1087 29619 98 99 43.7044406 -72.2886934 "Dartmouth College" "<b>Dartmouth College</b><br><b>Private</b><br><b>Applications: </b>8587<br><b>Applicatants accepted: </b>2273<br><b>Enrollments: </b>1087"
"Davidson College" "Private" 2373 956 452 17581 94 96 35.504705 -80.837287 "Davidson College" "<b>Davidson College</b><br><b>Private</b><br><b>Applications: </b>2373<br><b>Applicatants accepted: </b>956<br><b>Enrollments: </b>452"
"Defiance College" "Private" 571 461 174 7505 56 26 41.299244 -84.3528904 "Defiance College" "<b>Defiance College</b><br><b>Private</b><br><b>Applications: </b>571<br><b>Applicatants accepted: </b>461<br><b>Enrollments: </b>174"
"Delta State University" "Public" 967 945 459 5113 58 48 33.7453784 -90.7354508 "Delta State University" "<b>Delta State University</b><br><b>Public</b><br><b>Applications: </b>967<br><b>Applicatants accepted: </b>945<br><b>Enrollments: </b>459"
"Denison University" "Private" 2762 2279 533 12423 81 60 40.0740253 -82.5226425 "Denison University" "<b>Denison University</b><br><b>Private</b><br><b>Applications: </b>2762<br><b>Applicatants accepted: </b>2279<br><b>Enrollments: </b>533"
"DePauw University" "Private" 1994 1656 495 11525 82 80 39.640397 -86.861622 "DePauw University" "<b>DePauw University</b><br><b>Private</b><br><b>Applications: </b>1994<br><b>Applicatants accepted: </b>1656<br><b>Enrollments: </b>495"
"Dickinson College" "Private" 3014 2539 487 13861 87 68 40.2027138 -77.1972668 "Dickinson College" "<b>Dickinson College</b><br><b>Private</b><br><b>Applications: </b>3014<br><b>Applicatants accepted: </b>2539<br><b>Enrollments: </b>487"
"Dickinson State University" "Public" 434 412 319 4525 46 30 46.8823226 -102.7995721 "Dickinson State University" "<b>Dickinson State University</b><br><b>Public</b><br><b>Applications: </b>434<br><b>Applicatants accepted: </b>412<br><b>Enrollments: </b>319"
"Dillard University" "Private" 1998 1376 651 7566 61 88 29.9948363 -90.0652007 "Dillard University" "<b>Dillard University</b><br><b>Private</b><br><b>Applications: </b>1998<br><b>Applicatants accepted: </b>1376<br><b>Enrollments: </b>651"
"Doane College" "Private" 793 709 244 6852 60 47 40.6229514 -96.9503546 "Doane College" "<b>Doane College</b><br><b>Private</b><br><b>Applications: </b>793<br><b>Applicatants accepted: </b>709<br><b>Enrollments: </b>244"
"Dominican College of Blauvelt" "Private" 360 329 108 5480 54 19 41.0476201 -73.95031 "Dominican College of Blauvelt" "<b>Dominican College of Blauvelt</b><br><b>Private</b><br><b>Applications: </b>360<br><b>Applicatants accepted: </b>329<br><b>Enrollments: </b>108"
"Dordt College" "Private" 604 562 328 7325 87 50 43.0804511 -96.1619784 "Dordt College" "<b>Dordt College</b><br><b>Private</b><br><b>Applications: </b>604<br><b>Applicatants accepted: </b>562<br><b>Enrollments: </b>328"
"Dowling College" "Private" 1011 829 410 11178 42 33 40.7420922 -73.1478271 "Dowling College" "<b>Dowling College</b><br><b>Private</b><br><b>Applications: </b>1011<br><b>Applicatants accepted: </b>829<br><b>Enrollments: </b>410"
"Drake University" "Private" 2799 2573 839 9473 77 65 41.6012863 -93.6580638 "Drake University" "<b>Drake University</b><br><b>Private</b><br><b>Applications: </b>2799<br><b>Applicatants accepted: </b>2573<br><b>Enrollments: </b>839"
"Drew University" "Private" 2153 1580 321 14907 83 84 40.7611058 -74.4281995 "Drew University" "<b>Drew University</b><br><b>Private</b><br><b>Applications: </b>2153<br><b>Applicatants accepted: </b>1580<br><b>Enrollments: </b>321"
"Drury College" "Private" 700 650 314 9303 67 66 37.2183595 -93.2848048 "Drury College" "<b>Drury College</b><br><b>Private</b><br><b>Applications: </b>700<br><b>Applicatants accepted: </b>650<br><b>Enrollments: </b>314"
"Duke University" "Private" 13789 3893 1583 27206 97 98 36.0014258 -78.9382286 "Duke University" "<b>Duke University</b><br><b>Private</b><br><b>Applications: </b>13789<br><b>Applicatants accepted: </b>3893<br><b>Enrollments: </b>1583"
"Earlham College" "Private" 1358 1006 274 14634 78 63 39.823941 -84.913241 "Earlham College" "<b>Earlham College</b><br><b>Private</b><br><b>Applications: </b>1358<br><b>Applicatants accepted: </b>1006<br><b>Enrollments: </b>274"
"East Carolina University" "Public" 9274 6362 2435 9002 58 44 35.6065739 -77.3666773 "East Carolina University" "<b>East Carolina University</b><br><b>Public</b><br><b>Applications: </b>9274<br><b>Applicatants accepted: </b>6362<br><b>Enrollments: </b>2435"
"East Tennessee State University" "Public" 3330 2730 1303 9825 42 36 36.3025374 -82.3701933 "East Tennessee State University" "<b>East Tennessee State University</b><br><b>Public</b><br><b>Applications: </b>3330<br><b>Applicatants accepted: </b>2730<br><b>Enrollments: </b>1303"
"East Texas Baptist University" "Private" 379 341 265 5619 38 36 32.5574273 -94.3747227 "East Texas Baptist University" "<b>East Texas Baptist University</b><br><b>Private</b><br><b>Applications: </b>379<br><b>Applicatants accepted: </b>341<br><b>Enrollments: </b>265"
"Eastern College" "Private" 458 369 165 8135 54 42 40.0506771 -75.3715124 "Eastern College" "<b>Eastern College</b><br><b>Private</b><br><b>Applications: </b>458<br><b>Applicatants accepted: </b>369<br><b>Enrollments: </b>165"
"Eastern Connecticut State University" "Public" 2172 1493 564 5719 50 50 41.720017 -72.215698 "Eastern Connecticut State University" "<b>Eastern Connecticut State University</b><br><b>Public</b><br><b>Applications: </b>2172<br><b>Applicatants accepted: </b>1493<br><b>Enrollments: </b>564"
"Eastern Illinois University" "Public" 5597 4253 1565 5682 76 38 39.4799641 -88.1753643 "Eastern Illinois University" "<b>Eastern Illinois University</b><br><b>Public</b><br><b>Applications: </b>5597<br><b>Applicatants accepted: </b>4253<br><b>Enrollments: </b>1565"
"Eastern Mennonite College" "Private" 486 440 227 10188 82 48 38.4719168 -78.8793097 "Eastern Mennonite College" "<b>Eastern Mennonite College</b><br><b>Private</b><br><b>Applications: </b>486<br><b>Applicatants accepted: </b>440<br><b>Enrollments: </b>227"
"Eastern Nazarene College" "Private" 516 409 200 6430 70 40 42.2713976 -71.0107748 "Eastern Nazarene College" "<b>Eastern Nazarene College</b><br><b>Private</b><br><b>Applications: </b>516<br><b>Applicatants accepted: </b>409<br><b>Enrollments: </b>200"
